9
39, 51
33
60
13
21, 71
90
20, 31, 72
1
56
87
85
77
50
52
7, 36
14
95
16, 42
37
32
24, 69
47, 55, 93
15
63
23, 91
88
46
29, 83
0, 57, 80
41, 97
43
73, 75
3, 70
35
48, 79
78, 92
5, 74
17, 30, 54
94
96
58
18, 68, 98
76
22
67, 82
53
26, 64
11
59
38
10, 28
40, 99
4, 12, 66
34
27
19
44
61
49
62
65, 89
45
8
86
2, 6
81
25
84
