36, 84
99
18, 34, 88
4, 43
89
35, 58
73
1
38
47
59
69, 95
66
7
32
41
39
57
96
77
16
56
10
97
49
23, 45
9, 60
2, 74
24, 62
52
92
31, 44
42
20, 71
12, 72
80, 91
19, 81, 86
33
68
6
26, 29, 87
54
48
83
67
14
15, 93
61
3, 22
46
25
82
51
78
21
76
53
50
5
0
75
65
94
27
17
63
85
30
37
28
64, 79
11, 70
98
8
13
55
90
40
