39
12
89
25, 50
9, 82, 92
8
58
55
67
14, 83
19, 22
18, 73
7
27, 54
86
1, 52
33
4, 34, 48, 97
0, 35, 88
21
37, 72, 75
74
6
47, 91
56, 80, 84
69
15
77, 94
98
3, 28
45, 78
23
40, 49
20, 65
36, 93
44, 70
64
17
13
63
60
16, 59
87
95
32, 99
38, 81
26, 96
29
10, 41
30, 57
90
79, 85
53, 62
5
43
68
2
24
66
11, 42
71
46
61
31
51
76
