36, 76
38, 43, 73
57, 61
35
16, 58, 88
21, 32
93
53
29
40
0, 50, 80
23, 60
1
31, 63
4
42
48
27
67
66
34
65
18
33
64, 86
28, 71
3, 10
6, 8
26, 87
46
12, 39, 78
97
52
54
49
51
7, 69
94
59
11
70
2
82
47
84
9
75
44, 68
13, 45, 79
22, 90
72, 81
17, 92
77
99
14, 85
20
30
91
15, 98
19, 41, 83
56, 95
5, 89
24
62
37
25
96
74
55
