1, 12, 80
20, 35
61
59, 94
89
0
56, 82
84
24, 90, 92
32, 43
7, 60
33
76
15
11, 41
72
49
51, 79
26
14, 44
62, 73
3, 95
36, 48
57, 64
29, 98
83
27, 47
67
69, 88
13, 23, 87
38, 50
40
70
5, 10, 91
75
81
21
6
18
9, 30
68
37
34
28, 53
93
66
22
2
55
31, 71
85
39
97
16, 96
99
46, 77
42
45
74
25
8
54
78
17
19
86
52
4
65
63
58
