14, 41, 91
2, 82
13
51
29
60
11
9
80
4
77
50
72
6
8
70
19, 49
16, 58
36, 66
84, 87
25
3
93
12, 24
7
39, 40, 79
37, 75
46
22, 47
68
15, 62
54
42
57, 89, 90
30, 32
31, 48
63
59
76
34, 88
1, 17
96
18
98
99
0
85
45
26
27
65, 86
92
28
38
23, 81
20
61
83
95
52
56, 69, 94
78
44, 74
35
64
10
5
21
33
43
71
73
97
67
53
55
