17, 30
41
23
56
47
62
82
25
43, 81
18, 60
64
65
4
35
2
80
51
1
0, 16, 68
83
36, 52
39
9
11
59
31
75, 96
29, 45
24
48, 63
55
3, 74
93
67, 77
79
38
69, 86
37
15, 53
22, 58
90
8
66
14
49
21
42
7, 99
6
85, 97
46
28
57
88
27
26
91
61
71
34
92
44
20
95
40
33
89
73
50
78
19
54
84
72
98
13
76
5
94
32
70
12
10
87
