6
70
59
48
1
2
90
10, 86, 97
26, 84
12, 20
13
5
43, 85
62, 79
19, 37
81
38
61
34
9, 64
0, 11, 32
7, 28
27, 44, 45
42, 80
22, 72
8, 95
54, 88
23, 51
67
31, 91
58
71
18, 73
21
52
65
99
30, 83
35
14, 53
25, 40
78, 96
63
50, 57
36, 68
56, 89
4, 46
33, 66
76
16, 77, 87
41
93
15, 94
29, 60
24
69
39
82
55
92
3
49
47
17
75
98
74
