19
29, 48
2
58
59
78
38, 53
43, 62
5, 44
30
33
7
1, 79
60
21
13
75
51
87
98
28, 72
64
11
24
14
9
92
16, 50
8, 20
37
47
41, 88
97
65
26, 55, 86
89
23, 32
0, 96
69, 80, 85
39
34
4, 10, 12, 18, 94
17, 95
91
84
90
57
22, 25
15, 81
76, 82
68
54
31, 83
66
35, 74
67
45
70
71
6
99
77
52
61
46
42
3
93
40, 49
36
56
27
73
63
