57, 97
28
6
10
20
9
14
1
79
75
86
30
55
88
18, 49
12, 32, 68
24, 54
40, 51, 73
89
67
60
27, 91
44, 61
36, 47
2, 41
19, 46
59
74, 87
50
26
65
23
33
64
31
7, 45
5, 76
78
92
69, 84
77
93
3, 71
98
4, 99
17
16
58
72
39, 81
52
29
25
95
94
21, 63, 80
37
15
56
8, 42
35
38
62
82
13, 83
85
96
43
22
48
11
0
53, 66
70
34
90
