39
97
41
35, 64, 80
47
51
9, 38, 78
0, 31, 87
37
33
95
67
22
70
59
2, 52
90
44
24, 55
29, 96
27, 46
21
13
10, 43
3, 57
4
16
77
75, 84
23, 49
98
30, 68, 74
63
25, 69
1, 71
12
26, 65
93
7
91
99
6
79
8, 19
15, 81
5, 45
18
36
85
89
76
50
58
83
53
61
86
73
20, 48
40
62
17
54, 88
66
72
60
14
28
94
34
56
92
82
42
11
32
