59, 99
23, 47
74, 98
37, 91
6
38
33
29
77
0, 65, 76
89
90
27, 31, 87
95
55
12
68, 70
13
36
61
40, 58
9, 48
57
18, 19
26
63
24, 32, 66
96
21, 73, 93
17, 44, 80
43, 92
7, 67
8, 22, 34
11, 53, 88
30
84
41, 82
42, 49
15, 85
45
50, 72, 86
62
54, 79
4, 10
39
52, 56
51
25, 78
75
28, 71
97
83
46
1
64
14, 20
3, 69
81
2
94
5
16
35
60
