2, 15, 41
46
3
96
81
70, 80
7
23, 75
4, 49
17
12
6, 45
77
83
31, 36
69
19, 54
18, 56
28, 35, 90
26, 51, 91
97
21, 87
57, 60
1, 38
10, 55
72
85, 88
13, 78
29
9, 24
16, 42
86
63
48
39, 47
40
95
33
50
14, 64
53, 84
20, 89
68, 92, 93
65
11
44, 62
25
22
0
76
32
67
99
30, 71
58
82
5, 52
98
37
74
73
59
79
43
8
66
94
61
27
34
