22
45
4
17, 19, 67
21, 92
23, 84
40, 76
58
30
65
6, 12, 54
18
85, 91
7
28
13, 68, 99
29
34, 81
70
49, 75
25
5, 62, 64
27
59
90
72
37, 87
41, 73
83
1, 43
47, 79
14
46
69
0, 32
8, 95
93
82
39, 48
89
78
24
16, 53
3, 96
94
11
55, 80
2
33, 86
15
77
74, 97
9, 71
10, 56, 63
57
50
26, 36
66
35
52
38
60
44
31
20
51
88
98
42
61
