91
13
97
58
46, 69
82
74
41, 81
14, 18
55
53, 62
23
89
80
27
15
30
32, 68
39
38
9, 36
3, 22
6, 42
12, 16, 28
0
84
35, 59
92
5, 51
10, 61
31, 65
17, 72, 87
37
34
19
8
76
78
11, 63, 90
57, 70
2
95
83
4, 54
96
26
85
66
67
24, 40
60
7, 49
50
75
73, 86
88
21
44
64
29
43
77
48
71
1, 99
33
47
93
45
94
52
25, 79
98
56
20
