0, 24
85
18
48
15, 81
60
56
49, 66
99
17
90
38
46
28
37, 92
34
50
51
35
26, 59
1
11
31
44, 82
21
36, 70, 96
19
16, 41
94
3
12, 57
55
63
20
89
95
84
40
25, 43
23
52
53
4, 71
33
5
78
75
86
2
29, 74
93
10, 72
42, 62
67
68, 83
88
47
30, 64
14
22
7, 97
45, 98
65
79
61
9
91
39
8
6
13
58
80
69
73
54
77
32
76
27
87
