7, 79
74, 98
37
36
21
10, 65
76
35, 48
57, 78, 85
68
69
42, 66
82
73
41
77
23, 80
33, 52
84
83
8, 95
39, 81
54, 62
5, 38
89
24, 93
2
30, 34, 55
45, 49
71, 72
40, 96
6, 50, 58
18
16
63
90
64
20
22, 97
9
43
32, 91
88
59
94
17
0, 75
13
46
11
53, 61
70
26
15, 19, 27
4, 29
12
56
60
28
14
92
44
31
87
1, 3
86
47
51
25
67
99
