24
3, 78
12, 39, 62
53
26
97
95
44
11
30
15
43
63
29
65
37
75
9, 84
77
91
52
55
86
8
38, 71
47
22, 58
25
7, 73, 85
80
0, 5
40, 89
69
31
64
81
28
23
6, 17, 54
10
72, 83
50
2, 94
42, 90
35, 51
27
13
67
18, 41, 74
46
76
32, 60
21
99
61
33, 88
96
98
48
20
82
49
4
34, 66
19, 36
14
92, 93
1
16, 79
57
45
68
56
59
70
87
