95
6, 29, 36
77
22
34
4, 26
38
17
0, 40
74
66
19, 44
92
64
58, 79
39
97
24, 94
3, 41
86
16
13
28, 83
82
30, 90
27, 32, 88
72
54, 84
9
85
46, 91
43, 87
60
1, 14, 52
11, 15, 33
81
25, 47
63
5, 12, 78
45
59
10, 71
35, 50
89
69
20
51
55
76
31
48, 62
7, 99
2, 96
80
8, 65
68
37
98
21, 70
61
73
57
18, 53
75
67
42
23
56
93
49
