3, 46
96
13, 78
11, 40
99
38
44, 87
34
18, 20, 79
24
74
8, 56, 84
6
39
50
23, 86
22, 73
14, 65, 88
15
28
49
55, 93
12, 16, 75
26
71
9, 48, 94
7, 51
10, 30
54
29, 69
37
25
36, 63
35, 81, 83
27
77
98
0, 42, 91
67
70
41
80, 92
21, 76
47
43
85
32
53
31
19
64
60
45
5, 95
33
61
1
52
2
82
58
4
66
90
72
62
89
97
59
68
17
57
