46, 86
14, 22
13
47
24, 82
33, 83
75
20, 55
36
45
63
98
53
56, 89, 91
78
29
7, 42
40
35
59, 62
67
3, 69, 81
51, 85
57, 76, 80
11, 16
12, 37
8
74, 79
88
30, 39
0, 28, 34, 58
18, 60
6
1, 87
52
71
50
23
68
90
65, 93, 95
4, 25, 64
31, 49, 66
43
41
99
32
19, 48
10, 61
54
26
2, 44
72
9
15
17
38
94
5, 21
77
84
27, 70
96
92
73
97
