41
32
81
0
6
44
34
48
65
97
83
10, 67, 71
47
30, 42, 75
39, 95
46
69
64
56
33, 88
36
84
13, 22, 57
99
17
38, 58
25, 50
68, 78
9, 63, 70, 73
89, 96, 98
16
15, 93
14, 80
31
21, 23
29, 86
54
7
45, 72
55
62
43
53, 74
1
35
11, 12
76
79, 90
82
91
92
24, 27
26
59
3, 51
37
4
40
87
49, 60, 66
52, 85
5, 77
2
61
8, 94
28
18
20
19
