71
46
87
83
59
24, 85
43
57
79
19
2
3
54
20, 41
1, 66
30
39
96
61
28, 50
17, 70, 77
14, 31
8, 67
75
94
32, 93
34
21
44, 81
23
60, 95
90
63
64, 99
68
15
18
9, 65, 82, 86
4
35, 53
25
84
6
48
37
29, 69, 78
5, 89
47
27, 58
33
0
42, 92
7, 80
40
72
97
98
88
16, 74
76
51
52
91
26
55
36
38
12, 62
11
45
56
22
10
13
49
73
