1, 21
33, 96
4, 42
6
79
76
91
52
49
60, 87
41
0
29, 35, 77
88
2, 70
63
43
9
3, 12
38, 89
99
69
44
62, 71
28
39, 59
31
64, 74, 80
20, 51
24
75
18, 85
47
37
15
19
81
54
32
73, 93
61
27, 97
36, 82
95
84
67, 98
78
92
8
56
13
22
34, 57
25
5, 55
65
90
11
14
68
48
94
10
53
30
66
26
23
86
50
16
17
45
58
46
83
72
40
7
