11, 76
29
34, 74
55, 70
51
37
28
23
57, 80, 94
45, 68, 82
17
65
1
98
22
49, 52, 88
36, 53, 91
44
18
38
66
13
93
67
46, 90
77
8, 20, 24
4, 84
62
83
56
42
5
0, 85
33, 99
10, 54, 69
48, 73
27, 41
50
63
9, 79
35, 95
72
12
25
26
58
6, 40, 86
2
47, 59
61
92
78
19, 96
3, 75
14
7
81
39
30
15, 21, 60
97
71
87
31
16
64
32
43
89
