4, 70
57
19
74, 92
11
37, 76
20, 27
69
23
33, 97
82
1, 7
9
84, 94
13
44
12, 24
32
16, 62
88
77, 90
34, 41, 42
51
21, 49
83
78
96
72, 91
5, 29
54
39
25
52
64
14, 56, 65
8
0, 99
60
58
86
46
95
75
22
55
3
17
48
79
61
31
35
67
50
59
2
43
10, 87
63
15
18
30, 80
66
38
81, 98
68
71
47
45
40
73
6
26
36
85
89
28
53
93
