64
39, 82
3
11, 45, 81
6
60, 92
83
73
40, 84
93
1
34, 68
14
43
10, 74
56
5, 29, 77
41, 80
13, 63
0
16
31, 65
89
90
70
26, 35, 69
9, 99
15, 66
32
12, 21
86
28, 49
67
8
48
98
54
20
46
17, 22
23, 85
19
94
55
52
61
2, 76
57
51
30, 87
44
97
58
96
78
4, 88
7
47
91
53
79
95
24, 37
42
18
25
62
50
38
36, 72
59
27
33
71
75
