12, 41
23, 94
99
31, 46
17, 90
16
0, 53
19, 59
85
78
11
80
60
22, 96
88
58
8, 52
71
27, 56, 84
14
43, 69
93
29
87
92
32, 51, 62
77
3, 72
63
76
2, 37
6
1, 42
83
4, 28
50, 79
81
48, 65
97
45, 64
89
25, 36, 57
67
44
68
39
35, 55
54
73
7
10
91
75
95
20
24
82
34
33
49
15
74
13, 30, 38
86
70
98
47
18
26
5
61
9
66
40
21
